month,batch_no,total_piece, gross_weight , volume_weight , duty_fee , vat_fee , air_tran , vat_7p , grand_total ,amount_thb,from,sea_tran_usd
MAY,IM190547,,,," 2,880.20 ", 873.66 , -   ,, -   ,"9,600.66",HONG KONG, -   
MAY,IM190547,,,, 624.04 , 189.29 , -   ,, -   ,"2,080.14",HONG KONG, -   
MAY,IM190547,,,," 1,152.08 ", 349.46 , -   ,, -   ,"3,840.26",HONG KONG, -   
MAY,IM190547,,,, 518.44 , 157.26 , -   ,, -   ,"1,728.12",HONG KONG, -   
MAY,IM190547,,,," 1,728.12 ", 524.20 , -   ,, -   ,"5,760.40",HONG KONG, -   
MAY,IM190547,,,," 2,592.18 ", 786.29 , -   ,, -   ,"8,640.59",HONG KONG, -   
MAY,IM190547,,,," 3,120.21 ", 946.47 , -   ,, -   ,"10,400.72",HONG KONG, -   
MAY,IM190547,,,, 91.21 , 27.67 , -   ,, -   ,304.02,HONG KONG, -   
MAY,IM190559, 4 , 271.20 , 328.50 , 480.64 , 706.55 ," 8,204.08 ", 546.29 ," 8,750.37 ","9,612.88",GERMANY, -   
MAY,IM190559,,,, 556.85 , 818.56 , -   ,, -   ,"11,136.91",GERMANY, -   
MAY,IM190559,,,, 327.68 , 99.40 , -   ,, -   ,"1,092.27",GERMANY, -   
MAY,IM190559,,,," 2,368.76 "," 3,482.08 ", -   ,, -   ,"47,375.30",GERMANY, -   
MAY,IM190559,,,," 4,260.60 "," 1,292.38 ", -   ,, -   ,"14,201.98",GERMANY, -   
MAY,IM190559,,,, 331.59 , 487.43 , -   ,, -   ,"6,631.77",GERMANY, -   
MAY,IM190559,,,, 28.61 , 42.06 , -   ,, -   ,572.19,GERMANY, -   
MAY,IM190559,,,, 137.89 , 106.18 , -   ,, -   ,"1,378.90",GERMANY, -   
MAY,IM190559,,,," 1,084.23 ", 834.86 , -   ,, -   ,"10,842.31",GERMANY, -   
MAY,IM190560, 11 , 228.03 , 230.00 ," 3,366.57 "," 4,948.85 "," 29,624.08 "," 36,416.28 "," 66,040.36 ","67,331.35",CHINA," 2,300 "
MAY,IM190560,,,," 2,524.93 "," 3,711.64 ", -   ,, -   ,"50,498.51",CHINA, -   
MAY,IM190560,,,," 5,271.91 "," 7,749.71 ", -   ,, -   ,"105,438.29",CHINA, -   
MAY,IM190560,,,," 5,275.08 "," 7,754.37 ", -   ,, -   ,"105,501.65",CHINA, -   
MAY,IM190560,,,," 2,619.49 "," 3,850.65 ", -   ,, -   ,"52,389.84",CHINA, -   
MAY,IM190560,,,," 5,236.01 "," 7,696.93 ", -   ,, -   ,"104,720.16",CHINA, -   
,,,,,,,,,,,,
